id,platform,language,primary_keyword,secondary_keywords,search_intent,funnel_stage,page_type,slug,status,research_status,manual_review,published_url,last_verified_at
demo-ebay-ukraine-2026,eBay,ru,"Можно ли продавать на eBay из Украины в 2026 году?","eBay Украина продавец; регистрация eBay Украина; выплаты eBay Украина; доставка из Украины",informational-commercial,consideration,guide,can-you-sell-on-ebay-from-ukraine-2026,prepared_for_review,complete,true,,2026-07-16
pilot-paypal-payment-hold-after-sale,PayPal,ru,"PayPal удерживает платеж после продажи","PayPal payment on hold; деньги на удержании PayPal; PayPal новый продавец",problem-resolution-commercial,decision,diagnostic-guide,paypal-payment-hold-after-sale,proposed,preliminary,true,,2026-07-16
pilot-paypal-withdrawal-unavailable,PayPal,ru,"Не удается вывести деньги с PayPal","PayPal не выводит деньги; We can't complete this transaction right now PayPal; перевод PayPal недоступен",problem-resolution-commercial,decision,diagnostic-guide,paypal-withdrawal-unavailable,proposed,preliminary,true,,2026-07-16
pilot-ebay-verification-failed,eBay,ru,"eBay не удалось подтвердить личность продавца","eBay seller verification failed; eBay не принимает документы; проверка продавца eBay",problem-resolution-commercial,decision,diagnostic-guide,ebay-seller-verification-failed,proposed,preliminary,true,,2026-07-16
pilot-ebay-payout-returned-cancelled,eBay,ru,"eBay payout Returned или Cancelled","выплата eBay возвращена; eBay payout cancelled; eBay не отправляет выплату в банк",problem-resolution-commercial,decision,diagnostic-guide,ebay-payout-returned-or-cancelled,proposed,preliminary,true,,2026-07-16
pilot-grailed-account-frozen-appeal,Grailed,ru,"Grailed заморозил аккаунт: как подготовить апелляцию","Grailed account frozen; Grailed appeal ban; восстановление аккаунта Grailed",appeal-commercial,decision,diagnostic-guide,grailed-account-frozen-appeal,proposed,preliminary,true,,2026-07-16
pilot-grailed-payout-pending-after-delivery,Grailed,ru,"Grailed не выплачивает деньги после доставки","Grailed payout pending; выплата Grailed задерживается; Grailed payment after delivery",problem-resolution-commercial,decision,diagnostic-guide,grailed-payout-pending-after-delivery,proposed,preliminary,true,,2026-07-16
pilot-etsy-payment-account-reserve,Etsy,ru,"Etsy Payment Account Reserve: деньги в резерве","Etsy payment reserve; Etsy удерживает выплаты; резерв платежного счета Etsy",problem-resolution-commercial,decision,diagnostic-guide,etsy-payment-account-reserve,proposed,preliminary,true,,2026-07-16
pilot-etsy-identity-verification-failed,Etsy,ru,"Etsy не удалось подтвердить личность продавца","Etsy identity verification failed; Persona Etsy verification; Etsy не принимает документ",problem-resolution-commercial,decision,diagnostic-guide,etsy-identity-verification-failed,proposed,preliminary,true,,2026-07-16
pilot-vestiaire-listing-authentication-rejected,Vestiaire,ru,"Vestiaire не одобрил товар после проверки подлинности","Vestiaire item not approved; Vestiaire authentication failed seller; товар отклонен Vestiaire",problem-resolution-commercial,decision,diagnostic-guide,vestiaire-item-authentication-rejected,proposed,preliminary,true,,2026-07-16
pilot-vestiaire-seller-payment-failed,Vestiaire,ru,"Vestiaire Seller Payment Failed: ошибка способа выплаты","Looks like there's an issue with your transfer method; Vestiaire payment failed; Vestiaire не выплачивает продавцу",problem-resolution-commercial,decision,diagnostic-guide,vestiaire-seller-payment-failed,proposed,preliminary,true,,2026-07-16
v4-pilot-paypal-funds-held-180-days,PayPal,multilingual,"PayPal funds held for up to 180 days","PayPal 180 day hold; PayPal funds unavailable after limitation; удержание PayPal 180 дней",payout-diagnostic,decision,existing-guide-rewrite,funds-held-180-days,published,complete,false,/en/paypal/funds-held-180-days/,2026-07-17
v4-pilot-ebay-mc011-documents,eBay,multilingual,"Documents requested for eBay MC011","eBay MC011 documents; MC011 seller verification; документы eBay MC011",verification-preparation,decision,existing-guide-rewrite,mc011-documents-requested,published,complete,false,/en/ebay/mc011-documents-requested/,2026-07-17
v4-pilot-grailed-frozen-after-sale,Grailed,multilingual,"Grailed account frozen after a sale","Grailed frozen account; Grailed payout after sale; аккаунт Grailed заморожен",account-payout-diagnostic,decision,existing-guide-rewrite,frozen-after-sale,published,complete,false,/en/grailed/frozen-after-sale/,2026-07-17
resource-paypal-held-funds-status,PayPal,ru,"PayPal удержание средств: как разобрать статус уведомления","PayPal hold status; PayPal reserve; удержание средств PayPal что проверить",diagnostic,consideration,resource-guide,paypal-held-funds-status-checklist,proposed,not_started,true,,2026-07-23
resource-ebay-mc011-triage,eBay,ru,"eBay MC011: как разобрать сообщение и понять, что проверить первым","eBay MC011 restriction; eBay MC011 message; eBay ограничение продавца что проверить",diagnostic,consideration,resource-guide,ebay-mc011-message-triage,proposed,not_started,true,,2026-07-23
signal-revolut-business-review,Revolut Business,ru,"Revolut Business account under review: что проверить","revolut business review; revolut business support; Revolut Business проверка аккаунта",diagnostic,decision,diagnostic-guide,revolut-business-account-under-review,proposed,not_started,true,,2026-07-24
signal-ebay-seller-verification-in-progress,eBay,ru,"eBay seller verification in progress: что проверить","eBay seller verification; eBay identity verification; eBay verification in progress",verification,consideration,diagnostic-guide,ebay-seller-verification-in-progress,proposed,not_started,true,,2026-07-24
signal-etsy-payment-reserve-status,Etsy,ru,"Etsy payment reserve: как проверить статус выплаты","etsy payment reserve; Etsy reserve how long; Etsy reserve removed",payout-diagnostic,decision,diagnostic-guide,etsy-payment-reserve-status,proposed,not_started,true,,2026-07-24
